cost,zone,min,max
25000,I,3120,3657
35000,I,4217,4942
50000,I,5804,6801
75000,I,8342,9776
100000,I,10790,12644
150000,I,15500,18164
200000,I,20037,23480
300000,I,28750,33692
500000,I,45232,53006
750000,I,64666,75781
1000000,I,83182,97479
1500000,I,119307,139813
2000000,I,153965,180428
3000000,I,220161,258002
5000000,I,343879,402984
25000,II,3657,4339
35000,II,4942,5865
50000,II,6801,8071
75000,II,9776,11601
100000,II,12644,15005
150000,II,18164,21555
200000,II,23480,27863
300000,II,33692,39981
500000,II,53006,62900
750000,II,75781,89927
1000000,II,97479,115675
1500000,II,139813,165911
2000000,II,180428,214108
3000000,II,258002,306162
5000000,II,402984,478207
25000,III,4339,5412
35000,III,5865,7315
50000,III,8071,10066
75000,III,11601,14469
100000,III,15005,18713
150000,III,21555,26883
200000,III,27863,34751
300000,III,39981,49864
500000,III,62900,78449
750000,III,89927,112156
1000000,III,115675,144268
1500000,III,165911,206923
2000000,III,214108,267034
3000000,III,306162,381843
5000000,III,478207,596416
25000,IV,5412,6094
35000,IV,7315,8237
50000,IV,10066,11336
75000,IV,14469,16293
100000,IV,18713,21074
150000,IV,26883,30274
200000,IV,34751,39134
300000,IV,49864,56153
500000,IV,78449,88343
750000,IV,112156,126301
1000000,IV,144268,162464
1500000,IV,206923,233022
2000000,IV,267034,300714
3000000,IV,381843,430003
5000000,IV,596416,671640
25000,V,6094,6631
35000,V,8237,8962
50000,V,11336,12333
75000,V,16293,17727
100000,V,21074,22928
150000,V,30274,32938
200000,V,39134,42578
300000,V,56153,61095
500000,V,88343,96118
750000,V,126301,137416
1000000,V,162464,176761
1500000,V,233022,253527
2000000,V,300714,327177
3000000,V,430003,467843
5000000,V,671640,730744